EVENT,ENCODING
Part-Start_A,429.0
Rep-Start_1,439.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_160.00,304.0
Chord-Tone_B,333.0
Chord-Type_7,368.0
Chord-Slash_B,345.0
Position_13/64,206.0
Phrase,393.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Note-Velocity_25,153.0
Note-On_73,73.0
Note-Duration_7/64,166.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_176.67,309.0
Position_22/64,215.0
Note-Velocity_19,147.0
Note-On_74,74.0
Note-Duration_2/64,161.0
Position_30/64,223.0
Note-Velocity_24,152.0
Note-On_73,73.0
Note-Duration_7/64,166.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_163.33,305.0
Position_44/64,237.0
Note-Velocity_21,149.0
Note-On_68,68.0
Note-Duration_6/64,165.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_160.00,304.0
Position_52/64,245.0
Note-Velocity_23,151.0
Note-On_71,71.0
Note-Duration_6/64,165.0
Position_60/64,253.0
Note-Velocity_24,152.0
Note-On_69,69.0
Note-Duration_6/64,165.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Chord-Tone_E,326.0
Chord-Type_7,368.0
Chord-Slash_E,338.0
Position_2/64,195.0
Note-Velocity_24,152.0
Note-On_68,68.0
Note-Duration_9/64,168.0
Position_14/64,207.0
Note-Velocity_15,143.0
Note-On_62,62.0
Note-Duration_17/64,176.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_163.33,305.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_163.33,305.0
Position_59/64,252.0
Phrase,393.0
MLU-Type_line,398.0
MLU-Subtype_line-t,410.0
Note-Velocity_22,150.0
Note-On_65,65.0
Note-Duration_4/64,163.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_166.67,306.0
Chord-Tone_E,326.0
Chord-Type_7,368.0
Chord-Slash_E,338.0
Note-Velocity_22,150.0
Note-On_64,64.0
Note-Duration_3/64,162.0
Position_3/64,196.0
Note-Velocity_20,148.0
Note-On_63,63.0
Note-Duration_3/64,162.0
Position_7/64,200.0
Note-Velocity_19,147.0
Note-On_64,64.0
Note-Duration_4/64,163.0
Position_11/64,204.0
Note-Velocity_19,147.0
Note-On_62,62.0
Note-Duration_3/64,162.0
Position_15/64,208.0
Note-Velocity_17,145.0
Note-On_61,61.0
Note-Duration_7/64,166.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Position_23/64,216.0
Note-Velocity_13,141.0
Note-On_59,59.0
Note-Duration_2/64,161.0
Position_26/64,219.0
Note-Velocity_15,143.0
Note-On_61,61.0
Note-Duration_2/64,161.0
Position_29/64,222.0
Note-Velocity_17,145.0
Note-On_63,63.0
Note-Duration_2/64,161.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Position_33/64,226.0
Note-Velocity_23,151.0
Note-On_71,71.0
Note-Duration_4/64,163.0
Position_37/64,230.0
Note-Velocity_23,151.0
Note-On_69,69.0
Note-Duration_7/64,166.0
Position_46/64,239.0
MLU-Type_lick,397.0
MLU-Subtype_lick-general,402.0
Backref-Referred,417.0
Note-Velocity_25,153.0
Note-On_73,73.0
Note-Duration_7/64,166.0
Position_48/64,241.0
Tempo-Class_3,260.0
Tempo_156.67,303.0
Position_53/64,246.0
Note-Velocity_25,153.0
Note-On_76,76.0
Note-Duration_8/64,167.0
Position_60/64,253.0
Note-Velocity_24,152.0
Note-On_72,72.0
Note-Duration_2/64,161.0
Bar,192.0
Position_0/64,193.0
Tempo-Class_3,260.0
Tempo_160.00,304.0
Chord-Tone_A,331.0
Chord-Type_-7,357.0
Chord-Slash_A,343.0
Position_2/64,195.0
Note-Velocity_24,152.0
Note-On_75,75.0
Note-Duration_7/64,166.0
Position_10/64,203.0
Note-Velocity_21,149.0
Note-On_74,74.0
Note-Duration_3/64,162.0
Position_14/64,207.0
Note-Velocity_21,149.0
Note-On_72,72.0
Note-Duration_3/64,162.0
Position_16/64,209.0
Tempo-Class_3,260.0
Tempo_160.00,304.0
Note-Velocity_17,145.0
Note-On_69,69.0
Note-Duration_2/64,161.0
Position_20/64,213.0
Note-Velocity_19,147.0
Note-On_69,69.0
Note-Duration_5/64,164.0
Position_32/64,225.0
Tempo-Class_3,260.0
Tempo_153.33,302.0
Chord-Tone_D,324.0
Chord-Type_7,368.0
